Policy,Utility,Lower Bound,Upper Bound
"(2, 3, 1, -1, 3, nan, 0, -1, 2, 3, 2, 1)","[-0.04, -0.071968, -0.0471896032, 1.0, -0.04, 0.0, -0.04471424135968, -1.0, -0.04, -0.071968, -0.10198377831183203, -0.22140543562681617]",0.6588543089242106,0.7409103793451371
"(3, 0, 2, -1, 0, nan, 0, -1, 1, 0, 1, 2)","[-0.04, -0.04, -0.071968, 1.0, -0.043996, 0.0, -0.0975168256, -1.0, -0.04, -0.04, -0.043996, -0.17506160320000003]",1.8014685224610296,2.6536991690184912
"(1, 0, 2, -1, 2, nan, 0, -1, 3, 3, 3, 0)","[-0.04, -0.043996, -0.0443952004, 1.0, -0.071968, 0.0, -0.07548064415968, -1.0, -0.0471896032, -0.04471424135968, -0.08327613804620829, -0.04831928619081621]",2.2121080543839393,2.7814882946909534
"(1, 0, 3, -1, 1, nan, 2, -1, 2, 2, 3, 1)","[-0.04, -0.043996, -0.0443952004, 1.0, -0.04, 0.0, -0.07548064415968, -1.0, -0.043996, -0.04, -0.047540516351552035, -0.8439492975835201]",1.4128038018073958,1.7690331162889115
"(2, 3, 1, -1, 3, nan, 0, -1, 1, 3, 3, 2)","[-0.04, -0.043996, -0.04, 1.0, -0.043996, 0.0, -0.04, -1.0, -0.04, -0.043996, -0.043996, -0.17506160320000003]",1.0968723981806117,1.266101600295388
"(1, 2, 0, -1, 2, nan, 3, -1, 1, 1, 3, 2)","[-0.04, -0.04, -0.071968, 1.0, -0.043996, 0.0, -0.0975168256, -1.0, -0.0443952004, -0.04, -0.04974193087744, -0.04496921889465626]",1.4760486119666272,1.8064510182695621
"(1, 2, 1, -1, 3, nan, 1, -1, 3, 3, 1, 0)","[-0.04, -0.043996, -0.0443952004, 1.0, -0.04, 0.0, -0.04443508051996, -1.0, -0.043996, -0.07516160320000001, -0.044439064543944, -0.044439462547940005]",0.660606354391987,0.7499642105913976
"(3, 3, 1, -1, 1, nan, 1, -1, 3, 1, 3, 3)","[-0.04, -0.043996, -0.07516160320000001, 1.0, -0.043996, 0.0, -0.04750864415968, -1.0, -0.0443952004, -0.04, -0.07671411355155203, -0.8468637399438002]",1.8641405499926846,2.0275088600624427
"(0, 3, 2, -1, 1, nan, 3, -1, 3, 3, 1, 1)","[-0.04, -0.04, -0.071968, 1.0, -0.043996, 0.0, -0.0471896032, -1.0, -0.0443952004, -0.07548064415968, -0.04471424135968, -0.1399]",1.4461982817039323,1.6351653600893463
"(2, 3, 3, -1, 2, nan, 0, -1, 3, 0, 3, 1)","[-0.04, -0.04, -0.043996, 1.0, -0.043996, 0.0, -0.0443952004, -1.0, -0.0443952004, -0.04, -0.07640308051996, -0.20096134195155205]",2.2373432806083713,3.392304702358497
"(0, 1, 1, -1, 3, nan, 2, -1, 2, 3, 3, 1)","[-0.04, -0.04, -0.04, 1.0, -0.04, 0.0, -0.071968, -1.0, -0.043996, -0.0443952004, -0.0471896032, -0.17761393087744]",2.2751247978252342,4.065470623997896
"(2, 0, 2, -1, 0, nan, 3, -1, 0, 2, 0, 2)","[-0.04, -0.071968, -0.0975168256, 1.0, -0.043996, 0.0, -0.04, -1.0, -0.04, -0.04, -0.043996, -0.17506160320000003]",2.3734506809222524,3.120972129113113
"(0, 0, 3, -1, 1, nan, 3, -1, 1, 1, 2, 1)","[-0.04, -0.043996, -0.0443952004, 1.0, -0.071968, 0.0, -0.04443508051996, -1.0, -0.0975168256, -0.04974193087744, -0.08048173524620829, -0.04804012535109621]",1.8479402732742563,2.313957663997448
"(1, 0, 3, -1, 0, nan, 0, -1, 2, 2, 1, 1)","[-0.04, -0.043996, -0.04, 1.0, -0.043996, 0.0, -0.043996, -1.0, -0.0443952004, -0.07548064415968, -0.047540516351552035, -0.1778943806681604]",0.8176458244722243,0.8416662248074356
"(2, 1, 1, -1, 2, nan, 2, -1, 0, 1, 1, 1)","[-0.04, -0.043996, -0.04, 1.0, -0.071968, 0.0, -0.071968, -1.0, -0.04, -0.043996, -0.0823512064, -0.20571508415488002]",0.5319579179909407,0.602545134485029
"(3, 1, 3, -1, 1, nan, 2, -1, 3, 3, 3, 3)","[-0.04, -0.071968, -0.0975168256, 1.0, -0.04, 0.0, -0.04, -1.0, -0.071968, -0.0975168256, -0.12193144701952002, -0.23734761245800043]",1.4328241760521083,1.8188369899044123
"(2, 0, 0, -1, 3, nan, 3, -1, 1, 0, 1, 2)","[-0.04, -0.071968, -0.04, 1.0, -0.043996, 0.0, -0.04, -1.0, -0.0443952004, -0.04, -0.043996, -0.1399]",2.1956071045103873,2.49661476539348
"(0, 3, 0, -1, 3, nan, 0, -1, 1, 2, 3, 2)","[-0.04, -0.043996, -0.0443952004, 1.0, -0.043996, 0.0, -0.04443508051996, -1.0, -0.0443952004, -0.04443508051996, -0.07995158089549603, -0.047987162931460055]",1.5068729617363859,1.8393027742778911
